No,Journal,n,cites,h5,h5med,IF,IF5,IM,CS,SNIP,SJR
103,LANCET,302,233269,278,417,53.254,52.665,13.030,8.600,14.802,14.934
115,NAT ENERG,96,502,61,122,46.859,46.870,7.854,25.210,7.025,17.765
1,NATURE,836,710766,362,542,41.577,44.958,9.700,14.590,8.524,17.875
2,SCIENCE,769,645132,345,497,41.058,40.627,8.207,15.850,7.154,14.142
108,ENERG ENVIRON SCI,236,71920,196,330,30.067,28.924,6.517,30.870,4.819,14.590
14,NATURE CLIMATE CHANGE,126,17986,130,194,19.181,22.363,3.817,10.710,5.407,8.341
104,LANCET GLOBAL HEALTH,85,4455,61,110,18.705,20.577,4.882,4.470,5.994,8.756
27,TRENDS ECOL EVOL,72,35124,91,145,15.938,19.349,3.361,10.350,4.485,8.634
84,ANNU REV MAR SCI,19,3288,46,94,12.867,16.352,4.158,14.370,5.298,6.449
7,NAT COMMUN,4316,178348,240,318,12.353,13.691,1.829,12.410,2.912,6.582
117,BIOL REV,114,11139,64,93,11.700,11.996,4.904,9.320,3.921,4.900
125,SCI ADV,737,10194,72,103,11.511,11.514,1.860,11.060,3.356,5.817
68,ANNU REV ECOL EVOL SYST,27,19458,47,73,10.160,14.664,0.407,12.900,3.852,7.753
3,P NATL ACAD SCI USA,3261,637268,226,291,9.504,10.359,1.849,8.590,2.626,6.092
8,CURR BIOL,460,56595,101,130,9.251,9.972,2.272,5.260,1.700,4.296
109,RENEW SUST ENERG REV,1425,67014,161,216,9.184,10.093,2.354,10.540,3.594,3.036
5,PLOS BIOL,222,28750,87,114,9.163,9.527,1.554,6.790,1.996,4.941
6,ECOL LETT,143,30928,93,139,9.137,11.775,1.462,9.780,3.305,6.825
9,GLOBAL CHANGE BIOL,423,36182,98,138,8.997,9.791,2.170,9.120,2.842,4.731
105,ENVIRON HEALTH PERSP,229,39741,93,125,8.309,9.811,1.563,6.070,2.351,3.410
11,FRONT ECOL ENVIRON,57,9137,62,96,8.302,10.898,2.298,4.050,3.030,4.677
113,APPL ENERG,1717,63669,119,156,7.900,7.888,2.151,8.440,2.765,3.162
36,ECOL MONOG,34,10569,39,65,7.828,9.942,1.676,8.910,3.389,4.912
24,CONSERV LETT,85,3244,48,80,7.279,7.857,2.176,6.170,2.180,3.828
33,MOLEC ECOL RESOUR,142,9272,56,83,7.059,6.073,1.803,6.600,2.558,3.355
59,FISH FISH,77,3611,50,78,6.990,8.075,1.481,7.940,3.156,3.615
29,METHODS ECOL EVOL,192,8866,66,107,6.363,9.881,1.448,6.720,2.382,4.018
30,MOLEC ECOL,458,37813,80,115,6.131,6.885,1.238,5.670,1.677,3.283
20,GLOBAL ECOL BIOGEOGR,125,10294,62,82,5.958,7.315,1.072,6.410,1.845,3.786
17,CONSERV BIOL,135,20885,59,81,5.890,5.755,1.430,5.130,2.077,3.081
18,BIOSCIENCE,74,17072,51,75,5.876,6.708,1.310,3.960,2.214,2.754
19,J APPL ECOL,200,18142,61,76,5.742,6.160,1.860,5.840,2.034,3.062
26,PHIL TRANS R SOC B,359,41872,93,117,5.666,7.192,3.443,5.520,1.590,3.306
32,FUNCT ECOL,222,14638,56,79,5.491,5.657,1.459,5.200,1.736,2.868
31,J ECOL,156,18409,61,87,5.172,6.525,1.506,5.710,1.926,3.312
110,ENERGY,1927,52650,91,111,4.968,5.582,0.984,5.600,1.923,1.990
111,RENEW ENERG,988,34315,83,108,4.900,4.981,1.234,5.380,2.008,1.847
10,P ROY SOC B-BIOL SCI,563,51704,87,111,4.847,5.611,0.760,4.750,1.677,2.826
12,ECOLOGY,284,60825,64,78,4.617,5.677,0.813,5.020,1.753,2.998
21,DIVERS DISTRIB,130,7404,47,61,4.614,4.777,0.508,4.770,1.575,2.521
28,SCI TOTAL ENVIRON,2717,71249,99,133,4.610,4.984,1.132,4.980,1.650,1.546
13,BIOL CONSERV,397,28274,71,97,4.600,4.995,1.239,4.630,1.806,2.397
106,ENVIRON RES LETT,385,11797,74,94,4.541,5.288,0.842,4.830,1.538,2.436
22,ECOGRAPHY,134,10103,51,69,4.520,5.617,2.336,4.380,1.444,2.618
23,J ANIM ECOL,138,16148,50,61,4.459,4.958,1.181,4.660,1.720,2.778
16,ECOL APPL,182,20577,51,73,4.393,4.892,0.934,4.640,1.554,2.569
123,QUAT SCI REV,314,21248,63,86,4.334,5.054,0.799,4.510,1.550,2.668
15,AM NAT,154,29269,43,60,4.265,4.330,1.175,3.810,1.321,2.661
93,CURR OP ENV SUST,67,3255,55,90,4.186,5.545,1.567,4.870,1.937,2.035
73,J BIOGEOGR,236,15146,48,60,4.154,4.885,1.136,4.340,1.590,2.297
107,SCI REP,24809,192841,151,203,4.122,4.609,0.576,4.360,1.245,1.533
112,ENERG POLICY,694,41513,95,132,4.039,5.038,0.915,4.970,2.094,1.994
124,ECOSYSTEMS,111,8825,43,62,4.030,4.735,1.360,4.300,1.534,2.081
72,ECOL INDIC,629,13782,71,106,3.983,4.391,0.943,4.420,1.643,1.406
64,GLOBAL PLANET CHANGE,157,867,51,70,3.982,4.442,0.707,4.210,1.518,1.779
62,LANDSCAPE ECOL,151,8200,50,68,3.833,4.422,0.901,4.040,1.439,1.858
71,FRESHW BIOL,156,15165,43,54,3.767,3.722,0.641,3.670,1.418,1.603
96,PALAEONTOLOGY,58,4020,26,37,3.730,2.813,0.552,3.150,1.227,1.840
55,AMBIO,115,7002,41,63,3.616,3.880,1.780,4.030,1.611,1.569
66,LIMNOL OCEANOGR,208,26993,43,57,3.595,4.025,0.837,3.810,1.329,1.871
79,BEHAV ECOL,171,10126,42,52,3.347,3.404,0.895,3.000,1.350,1.871
77,BIOL LETT,166,9425,44,58,3.345,3.556,0.542,3.190,1.196,1.914
70,MAR POLLUT BULL,844,25474,71,95,3.241,3.767,0.555,3.400,1.228,1.147
86,J EXP BIOL,497,32317,52,71,3.179,3.407,0.825,2.600,1.306,1.611
35,FOR ECOL MANAG,604,32513,63,78,3.169,3.524,0.793,3.500,1.501,1.625
69,OECOLOGIA,242,32672,47,61,3.127,3.409,0.624,3.170,1.175,1.695
60,CORAL REEFS,112,6839,34,40,3.095,3.454,0.777,2.670,0.938,1.307
67,OIKOS,175,21636,47,65,3.079,3.728,1.097,3.670,1.322,2.172
65,BIOL INVASIONS,255,8978,43,63,3.054,3.189,1.043,3.190,1.317,1.514
51,AQUAT CONSERV,123,3232,28,37,2.988,2.871,0.829,2.790,1.255,1.203
85,ICES J MAR SCI,217,9838,42,65,2.906,2.969,1.083,2.980,1.245,1.591
25,ANIM CONSERV,52,3204,28,34,2.889,3.348,1.192,2.470,1.136,1.523
37,BIODIV CONSERV,178,10172,39,51,2.828,2.948,0.713,2.770,1.160,1.243
4,PLOS ONE,20328,582877,180,229,2.766,3.352,0.405,3.010,1.111,1.164
102,FISHERIES,42,2083,23,31,2.734,2.690,0.595,0.670,0.726,0.419
91,CONDOR,57,5245,22,31,2.722,2.003,0.947,2.700,1.526,1.386
34,ECOSPHERE,403,4205,38,57,2.671,3.007,0.395,2.780,0.951,1.461
57,J VEG SCI,113,7622,37,60,2.658,3.404,0.602,2.750,1.143,1.429
94,CAN J FISH AQUAT SCI,183,16760,38,47,2.631,2.798,0.705,2.440,1.036,1.329
54,RESTOR ECOL,127,4704,31,40,2.544,2.501,0.787,2.610,1.120,1.115
83,ECOL MODEL,320,17114,45,56,2.507,2.697,0.438,2.690,1.088,1.084
80,BEHAV ECOL SOCIOBIOL,177,12110,35,44,2.473,2.582,0.486,2.400,0.971,1.323
88,AUK,66,6793,25,33,2.442,2.438,0.682,1.970,0.989,1.179
97,PALEOBIOLOGY,39,380,22,32,2.400,2.599,0.564,2.550,0.803,1.563
95,PALAEOGEOGR PALAEOCLIM PALAEOECOL,443,20887,40,48,2.375,2.779,0.910,2.490,1.059,1.285
45,ECOL EVOL,974,6915,50,68,2.340,2.788,0.394,2.640,1.000,1.356
41,ORYX,86,2805,26,39,2.333,2.559,0.930,1.770,0.943,0.981
127,QUAT RES,73,7145,27,33,2.329,2.678,0.384,2.360,1.019,1.216
99,J SYST PALAEONTOL,48,1057,22,32,2.326,2.796,1.417,1.980,0.919,0.953
128,J QUAT SCI,78,4147,28,36,2.324,2.770,1.013,2.260,0.845,1.180
78,BMC ECOL,44,1055,24,37,2.315,2.903,0.227,2.350,0.885,1.076
40,ENVIRON CONSERV,39,3346,22,34,2.293,2.520,0.667,2.130,0.844,1.028
38,BIOTROPICA,97,5956,26,34,2.281,2.486,0.598,2.300,0.977,1.168
42,MAR ECOL PROG SER,405,36229,43,61,2.276,2.682,0.407,2.530,0.952,1.289
87,IBIS,86,4891,23,34,2.234,2.152,0.407,2.270,1.149,1.200
58,MAR BIOL,218,17167,38,52,2.215,2.467,0.450,2.300,0.936,1.085
63,HYDROBIOLOGIA,424,23964,45,64,2.165,2.444,0.922,2.150,1.078,0.896
126,QUAT INT,722,14032,46,59,2.163,2.488,0.841,2.030,0.964,1.123
53,BASIC APPL ECOL,61,2944,27,39,2.144,2.385,0.574,2.170,0.764,1.108
116,ENERG J,67,2619,35,53,2.132,2.675,0.463,1.960,1.325,1.209
76,PEERJ,1369,7377,53,84,2.118,2.469,0.335,2.380,0.896,1.087
47,INSECT CONSERV DIV,44,1034,26,38,2.091,2.551,0.705,2.260,1.015,0.999
56,J WILDL MANAG,133,11207,32,42,2.055,2.287,0.632,1.960,1.042,1.115
39,CONSERV GEN,114,4091,25,32,2.025,2.126,0.518,2.020,0.919,0.924
61,J EXP MAR BIOL ECOL,175,15335,31,40,1.990,2.171,0.783,2.150,0.890,1.024
48,J NAT CONSERV,59,1221,26,32,1.971,2.315,0.390,2.190,1.067,0.894
119,J PLANT ECOL,97,1482,23,28,1.937,2.678,2.505,1.840,0.886,0.775
100,FISH RES,290,7849,34,47,1.874,2.172,0.600,1.940,0.959,0.941
50,PLANT ECOL,104,5643,25,30,1.759,1.891,0.337,1.920,1.025,0.914
52,AUSTRAL ECOL,93,3832,23,29,1.730,1.888,0.495,1.800,0.871,0.891
74,MAR FRESHW RES,220,4737,25,31,1.674,1.876,0.518,1.700,0.832,0.782
82,POP ECOL,34,1132,18,24,1.644,1.489,0.118,1.500,0.737,0.955
89,ECOL COMPLEX,57,1442,21,31,1.634,2.044,0.439,1.700,0.856,0.753
101,FISH MANAG ECOL,52,1530,22,34,1.624,2.051,0.173,1.590,0.823,0.746
49,J INSECT CONSERV,81,1953,24,30,1.562,1.857,0.247,1.760,0.938,0.842
121,ECOL MANAGE RESTOR,29,665,16,21,1.561,NA,0.276,1.160,0.640,0.546
92,ECOL RES,105,3185,22,30,1.531,1.729,0.438,1.640,0.828,0.699
46,BIRD CONSERV INTL,42,965,17,24,1.493,1.762,0.429,1.250,0.776,0.581
75,EUR J WILDL RES,100,1660,22,31,1.453,1.614,0.200,1.610,0.853,0.733
81,THEOR ECOL,35,571,17,24,1.453,1.745,0.200,1.480,0.727,0.873
44,WILDL RES,67,2520,19,24,1.410,1.544,0.119,1.580,0.763,0.874
98,J PALEONTOL,85,5481,23,33,1.353,1.747,0.882,1.770,0.869,0.882
114,J RENEW SUST ENER,239,2166,26,34,1.337,1.342,0.314,1.410,0.588,0.440
90,PLANT ECOL DIVER,31,676,22,38,1.205,1.605,0.194,1.140,0.776,0.392
43,TROP CONSERV SCI,76,642,17,21,1.149,1.491,0.382,1.360,0.763,0.692
120,EMU,37,1134,15,18,1.069,1.284,0.135,1.180,0.928,0.568
