No,Journal,n,cites,h5,h5med,IF,IF5,IM,CS,SNIP,SJR,conserv,ecol,review,bes,oa,marfreshw,mysamp,hlth,gen,genet,palaeo,energ,sust
103,LANCET,264,247292,282,464,59.102,54.664,14.902,10.28,16.039,15.871,,,,,,,,1,,,,,
115,NAT ENERG,111,11113,92,182,54.000,54.026,8.027,26.88,8.175,16.918,,,,,1,,,,,,,1,1
1,NATURE,904,745692,368,546,43.070,45.819,9.435,15.21,9.199,16.345,,,,,,,,1,1,,1,1,1
2,SCIENCE,799,680994,338,511,41.037,43.644,9.816,15.21,7.311,13.251,,,,,,,,1,1,,1,1,1
108,ENERG ENVIRON SCI,296,81176,207,323,33.200,32.826,5.537,32.34,4.622,13.103,,,,,,,,,,,,1,1
132,NAT GEN,188,93920,174,257,25.455,31.077,6.426,19.88,5.477,21.508,,,,,,,,,,1,,,
14,NAT CLIM CHANGE,146,23544,132,197,21.722,25.170,4.116,12.78,5.543,8.612,,,,,,,,,1,,,,1
104,LANCET GLOBAL HLTH,91,6109,73,122,15.873,19.828,5.945,4.51,5.490,7.367,,,,,,,,1,,,,,
27,TRENDS ECOL EVOL,72,36697,82,139,15.236,18.964,3.028,9.53,4.263,7.816,,1,1,,,,,,,,1,,
84,ANNU REV MAR SCI,20,3870,46,85,15.225,15.792,5.000,15.47,5.444,6.595,,,1,,,1,,,,,,,
125,SCI ADV,893,21901,107,151,12.804,13.293,2.116,13.05,3.170,6.267,,,,,1,,,,1,,,,1
7,NAT COMMUN,5058,243793,260,345,11.878,13.811,2.107,12.19,2.805,5.992,,,,,1,,,1,1,,1,1,1
129,NAT ECOL EVOL,214,3206,46,58,10.965,10.969,3.262,6.88,2.742,5.212,1,1,,,,,,,,,,,1
11,FRONT ECOL ENVIRON,55,10483,59,99,10.935,11.692,1.618,5.10,3.253,4.454,1,1,1,,,,,,,,,,1
68,ANNU REV ECOL EVOL SYST,22,20257,47,84,10.878,15.580,0.455,13.78,3.970,8.385,,1,1,,,,,,,,,,
130,NAT HUM BEHAV,87,1230,37,51,10.575,10.586,3.448,3.88,4.156,4.052,1,,,,,,,,,,,,1
109,RENEW SUST ENERG REV,1118,88430,174,238,10.556,11.239,3.361,12.21,3.694,3.288,,,,,,,,,,,,1,1
117,BIOL REV,100,12482,68,106,10.288,11.516,3.930,10.04,3.647,4.966,,1,1,,,,,,,,,,
3,P NATL ACAD SCI USA,3269,661118,227,303,9.580,10.600,1.970,8.58,2.539,5.601,,,,,,,,1,1,,1,1,1
8,CURR BIOL,467,60772,104,131,9.183,10.090,2.347,5.39,2.135,3.968,,,,,,,,,1,,,,
9,GLOBAL CHANGE BIOL,491,42119,105,132,8.880,10.171,2.185,9.14,2.614,4.316,,1,,,,,,,,,1,,1
6,ECOL LETT,170,32776,83,114,8.699,11.576,1.776,9.51,3.790,7.323,,1,,,,,,,,,,,
113,APPL ENERG,1798,81221,131,166,8.426,8.558,2.179,9.54,2.616,3.455,,,,,,,,,,,,1,1
5,PLOS BIOL,374,29974,89,128,8.386,9.311,1.219,7.11,2.040,4.783,,,,,1,,,1,1,,,,
105,ENVIRON HEALTH PERSP,124,4215,89,136,8.049,9.991,1.282,6.46,2.209,2.938,,,,,,,,1,,,,,
36,ECOL MONOG,38,11025,39,57,7.698,10.890,2.316,8.5,2.767,4.699,,1,,,,,,,,,,,
24,CONSERV LETT,112,4133,52,75,7.397,8.300,1.938,6.38,2.429,3.227,1,,,,1,,,,,,,,1
29,METHODS ECOL EVOL,215,11672,69,104,7.099,9.544,1.609,7.37,2.587,4.028,,1,,1,,,,,,,,,
33,MOLEC ECOL RESOUR,120,10473,64,103,7.049,7.208,1.558,7.01,2.356,3.461,,1,,,,,,,,1,,,
59,FISH FISH,72,4382,52,89,6.655,8.060,2.111,7.63,2.831,3.242,,,1,,,1,,,,,,,
18,BIOSCIENCE,75,18353,55,90,6.591,6.925,1.520,4.30,2.255,2.709,,,1,,,,,,1,,,,1
17,CONSERV BIOL,127,21980,62,84,6.194,6.111,1.512,5.97,2.256,2.977,1,,,,,,,,,,,,1
106,ENVIRON RES LETT,539,16889,77,107,6.192,6.503,1.174,6.10,1.806,2.710,,1,,,,,,,,,,1,1
26,PHIL TRANS R SOC B,389,45388,98,126,6.139,7.205,3.003,5.99,1.687,3.387,,,,,,,,,1,,,,
22,ECOGRAPHY,176,11508,51,71,5.946,6.691,1.778,5.61,1.860,3.049,,1,,,,,,,,,,,
30,MOLEC ECOL,348,39464,80,103,5.855,6.614,1.342,5.53,1.541,3.057,,1,,,,,,,,1,,,
19,J APPL ECOL,268,19342,65,84,5.782,6.533,1.765,5.96,1.939,2.731,1,1,,1,,,1,,,,,,1
31,J ECOL,193,19532,57,82,5.687,6.817,1.870,5.72,1.924,2.764,,1,,1,,,,,,,,,
20,GLOBAL ECOL BIOGEOGR,124,11864,57,92,5.667,7.144,1.460,6.39,2.070,3.458,,1,,,,,,,,,1,,
28,SCI TOTAL ENVIRON,4246,97467,113,148,5.589,5.727,1.682,5.92,1.809,1.536,,,,,,,,,1,,,1,1
110,ENERGY,2175,64992,94,117,5.537,5.747,1.308,6.20,1.822,2.048,,,,,,,,,,,,1,1
111,RENEW ENERG,1116,4305,90,114,5.439,5.257,2.005,6.19,2.075,1.889,,,,,,,,,,,,1,1
