No,Journal,n,cites,h5,h5med,IF2013,IF5,IM,SNIP13,IPP13,SJR13
1,NATURE,857,590324,355,495,42.351,40.783,8.457,8.822,32.997,21.323
2,SCIENCE,841,537035,311,431,31.477,34.463,8.568,7.900,25.903,12.465
3,P NATL ACAD SCI USA,3901,565934,217,280,9.809,10.727,2.039,2.696,9.756,7.048
4,PLOS ONE,31496,226708,148,187,3.534,4.015,0.416,1.100,3.618,1.724
5,PLOS BIOL,201,24324,96,131,11.771,12.807,1.706,2.417,9.254,7.669
6,ECOL LETT,175,20519,83,124,13.042,17.794,2.000,3.908,11.889,8.569
7,NAT COMMUN,1591,17193,88,118,10.742,11.023,1.721,2.657,8.953,5.682
8,CURR BIOL,391,46037,96,114,9.916,10.227,2.266,1.628,5.845,4.909
9,GLOBAL CHANGE BIOL,312,22987,83,113,8.224,8.595,1.631,2.585,7.865,4.596
10,P ROY SOC B-BIOL SCI,513,39399,79,101,5.292,5.808,1.025,1.754,4.832,3.198
11,FRONT ECOL ENVIRON,67,5362,56,95,8.412,10.230,1.284,2.685,7.172,4.156
12,ECOLOGY,285,52767,68,91,5.000,6.421,0.618,2.004,5.072,3.616
13,BIOL CONSERV,384,19784,60,89,4.036,4.703,0.750,1.934,4.378,2.552
14,NATURE CLIMATE CHANGE,158,2871,54,84,15.295,15.327,2.994,4.283,11.140,5.911
15,AM NAT,190,26753,49,75,4.454,5.204,0.742,1.617,4.335,3.087
16,ECOL APPL,147,17219,56,74,4.126,5.150,0.748,1.783,4.413,2.604
17,CONSERV BIOL,147,17277,58,73,4.320,5.427,0.884,1.953,4.313,2.705
18,BIOSCIENCE,70,12300,51,73,5.439,6.727,0.543,2.529,4.958,2.687
19,J APPL ECOL,147,13115,56,70,4.754,5.864,0.721,2.181,4.953,2.960
20,GLOBAL ECOL BIOGEOGR,118,6199,47,69,7.242,7.252,1.373,2.470,6.936,4.118
21,DIVERS DISTRIB,136,4900,45,66,5.469,5.629,0.868,1.928,5.229,2.940
22,ECOGRAPHY,132,7197,43,64,4.207,5.776,0.977,1.714,4.565,2.728
23,J ANIM ECOL,128,13314,50,63,4.726,5.435,1.195,2.000,4.717,3.074
24,CONSERV LETT,42,1176,36,61,5.032,5.420,1.167,1.851,4.928,2.862
25,ANIM CONSERV,66,2221,28,35,2.524,3.286,0.939,1.281,2.680,1.548
