No,Journal,n,cites,h5,h5med,IF2013,IF5,IM,SNIP13,IPP13,SJR13
1,ANNU REV MAR SCI,24,1628,47,84,16.381,16.277,3.875,5.534,16.172,10.508
2,AQUAT CONSERV,73,2078,24,31,1.756,2.218,0.397,1.003,1.91,1.038
3,AQUAT ECOL,40,1342,20,24,1.456,1.804,0.1,0.979,1.539,0.695
4,CAN J FISH AQUAT SCI,171,15942,31,40,2.276,2.606,0.333,1.078,2.239,1.397
5,CORAL REEFS,105,5620,36,55,3.623,4.137,0.743,1.1,2.623,1.6
6,DEEP-SEA RES II,226,7542,44,58,2.763,2.989,0.195,1.291,3.029,2.22
7,ENVIRON BIOL FISHES,111,5177,22,27,1.356,1.339,0.486,0.843,1.281,0.725
8,ESTUAR COAST SHELF S,295,12625,37,51,2.253,2.782,0.461,1.426,2.63,1.322
9,FISH FISH,36,2243,35,54,8.755,8.522,1.722,3.055,6.111,3.42
10,FISH OCEANOGR,39,1873,19,23,2.542,2.795,0.641,1.217,2.639,1.769
11,FISH RES,215,5639,30,34,1.843,2.004,0.474,1.175,1.78,1.027
12,FISHERIES,58,1565,22,32,2.517,2.754,0.328,1.304,1.779,0.852
13,FRESHWATER BIOL,204,11820,46,71,2.905,3.857,0.544,1.845,3.673,1.965
14,HYDROBIOLOGIA,373,20534,39,52,2.212,2.35,0.496,1.109,1.956,0.912
15,ICES J MAR SCI,140,7533,36,45,2.525,2.595,0.393,1.175,2.371,1.578
16,J EXP MAR BIOL ECOL,292,14068,36,44,2.475,2.54,0.38,1.059,2.312,1.266
17,J FISH BIOL,261,12384,32,42,1.734,1.87,0.337,1.104,1.958,1.033
18,J MARINE SYST,136,4965,38,52,2.476,2.769,1.022,1.425,2.888,1.602
19,LIMNOL OCEANOGR,177,25146,43,57,3.615,4.332,0.695,1.568,3.858,2.259
20,MAR BIOL,260,16848,34,45,2.393,2.569,0.619,1.016,2.303,1.247
21,MAR ECOL PROG SER,500,34992,49,63,2.64,3.17,0.522,1.153,2.662,1.597
22,MAR FRESHWATER RES,105,4027,31,40,2.25,2.191,0.714,0.948,2.106,1.171
23,MAR POLL BULL,488,14890,46,64,2.793,3.118,0.393,1.54,2.854,1.197
24,REV FISH BIOL FISHER,32,2416,23,31,2.564,3.171,0.875,1.561,2.336,1.094
25,REV FISH SCI,31,1071,21,32,2.368,2.912,1.355,1.64,2.667,1.348
