No,Journal,n,cites,h5,h5med,IF2013,IF5,IM,SNIP13,IPP13,SJR13
89,NEW ENGL J MED,348,257469,329,495,54.42,52.426,14.747,15.122,41.557,13.514
63,LANCET,276,176528,248,381,39.207,39.315,12.649,11.295,27.002,11.563
23,CELL,432,191226,223,343,33.116,35.02,6.75,5.786,26.913,28.272
55,J CLIN ONCOL,627,130991,205,306,17.879,17.158,4.702,4.486,13.409,8.731
61,JAMA-J AM MED ASSOC,221,124822,181,288,30.387,29.914,8.462,10.022,23.82,6.278
30,CIRCULATION,533,158661,178,274,14.948,15.326,2.934,4.618,12.354,8.202
72,NAT GENET,212,81548,188,270,29.648,32.138,6.575,6.162,26.825,24.052
82,NAT REV MOL CELL BIO,64,34124,131,267,36.458,42.584,6.312,5.945,25.446,23.593
80,NAT REV GENET,68,26358,129,244,39.794,40.274,6.191,6.48,28.917,23.813
76,NAT REV CANCER,66,36052,135,242,37.912,41.706,4.818,5.939,24.154,18.241
51,J AM COLL CARDIOL,455,79235,162,235,15.343,14.669,3.745,4.609,13.371,9.179
81,NAT REV IMMUNOL,65,27024,126,226,33.836,37.762,7.123,5.727,23.885,17.251
84,NAT REV NEUROSCI,62,30120,119,220,31.376,37.472,6.161,5.799,20.724,14.685
74,NAT MED,175,60002,146,217,28.054,26.501,5.817,4.705,20.236,10.988
73,NAT IMMUNOL,136,34765,129,213,24.973,25.566,4.507,5.014,23.627,17.157
66,LANCET ONCOL,163,20565,128,208,24.725,24.229,5.325,8.294,24.857,14.764
15,BIOINFORMATICS,649,56703,104,205,4.621,6.968,0.792,1.68,5.267,4.416
17,BLOOD,1012,149865,156,200,9.775,9.609,2.288,2.378,8.161,6.727
20,CANCER CELL,108,24929,112,197,23.893,27.238,4.981,4.785,23.845,17.384
70,NAT BIOTECHNOL,93,42156,129,197,39.08,35.62,12.043,5.304,23.132,14.123
27,CELL STEM CELL,113,15492,121,192,22.151,25.911,5.956,3.42,17.155,16.053
65,LANCET NEUROL,93,17534,119,191,21.823,24.075,5.817,8.239,23.161,11.052
56,J EXP MED,212,64191,122,188,13.912,13.955,2.448,2.887,13.212,12.047
18,BMJ-BRIT MED J,277,85434,133,187,16.378,16.122,9.845,3.351,6.785,2.327
78,NAT REV DRUG DISCOV,44,21454,110,186,37.231,35.436,6.205,6.239,22.145,7.139
47,IMMUNITY,182,34787,123,183,19.748,20.948,4.978,3.87,19.031,14.278
46,HEPATOLOGY,432,53052,127,181,11.19,11.532,2.569,2.665,9.511,5.283
41,GASTROENTEROLOGY,238,62445,132,180,13.926,12.951,3.479,3.004,10.419,5.941
91,PHYSIOL REV,35,23974,83,179,29.041,35.456,4.486,10.228,33.121,19.552
5,ANN INTERN MED,158,47309,115,178,16.104,16.482,4.563,4.669,10.937,5.451
21,CANCER RES,670,142970,133,178,9.284,8.958,1.887,2.07,8.657,5.627
39,EUR HEART J,334,36613,117,178,14.723,13.12,2.772,5.187,13.434,6.983
88,NEURON,367,71989,135,178,15.982,16.485,2.918,3.896,15.847,12.845
54,J CLIN INVEST,454,96908,133,176,13.765,14.449,2.866,3.188,13.018,9.511
9,ANNU REV IMMUNOL,24,16653,71,175,41.392,46.174,9.833,8.96,38.014,32.612
71,NAT CELL BIOL,139,34482,115,173,20.058,21.241,4.295,3.481,16.652,16.1
68,MOL CELL,309,52033,121,172,14.464,15.324,3.819,3.041,15.02,14.693
75,NAT NEUROSCI,236,46095,121,166,14.976,16.273,3.725,3.639,14.194,11.937
36,DIABETES CARE,626,52771,113,163,8.57,8.462,2.233,3.408,8.545,4.461
31,CLIN CANCER RES,677,68311,116,162,8.193,8.101,1.665,2.045,8.275,5.15
42,GENE DEV,226,59234,114,162,12.639,12.765,2.181,2.509,12.12,14.091
90,PEDIATRICS,743,61542,117,162,5.297,6.112,0.958,2.885,5.566,3.069
44,GENOME RES,192,30995,109,160,13.852,14.927,2.938,2.835,14.103,15.086
86,NEUROIMAGE,873,69654,117,158,6.132,6.956,1.479,1.985,6.584,4.412
59,J NEUROSCI,1765,167915,127,156,6.747,7.648,1.232,1.853,7.058,5.766
62,JNCI-J NATL CANCER I,159,37903,97,155,15.161,15.194,2.516,4.253,12.381,7.066
52,J CELL BIOL,289,71491,108,151,9.688,10.398,1.692,2.283,9.979,9.732
4,AM J RESP CRIT CARE,275,51564,114,150,11.986,11.284,3.295,3.376,9.866,5.495
7,ANN RHEUM DIS,309,29337,102,148,9.27,8.632,3.291,2.815,8.024,5.106
32,CLIN INFECT DIS,431,49629,113,148,9.416,9.177,2.905,3.256,8.135,4.628
40,EUR UROL,189,19389,96,144,12.48,9.983,4.439,4.066,10.216,6.762
92,PLOS GENET,842,27581,108,144,8.167,8.901,1.272,1.658,7.386,6.556
50,J ALLERGY CLIN IMMUN,301,36389,105,143,11.248,9.664,2.86,2.968,9.112,4.815
29,CIRC RES,262,47185,100,142,11.089,10.759,2.45,2.493,10.031,6.355
58,J IMMUNOL,1309,129160,107,142,5.362,5.57,0.996,1.332,5.36,3.823
53,J CLIN ENDOCR METAB,788,69351,106,139,6.31,6.479,1.148,2.284,6.381,3.169
64,LANCET INFECT DIS,84,11710,85,138,19.446,18.279,6.845,6.438,17.226,9.527
