No,Journal,n,cites,h5,h5med,IF2013,IF5,IM,SNIP13,IPP13,SJR13
1,HUM REPROD UPDATE,48,5799,61,92,8.657,9.464,1.833,4.107,9.89,4.341
2,HUM REPROD,363,27398,74,95,4.585,4.619,1.113,1.852,4.77,2.641
3,OBSTET GYNECOL,294,25283,74,100,4.368,4.755,0.993,2.032,3.846,2.188
4,FERTIL STERIL,541,28747,75,103,4.295,3.982,1.185,1.436,3.25,1.712
5,AM J OBSTET GYNECOL,301,32056,72,93,3.973,3.778,0.85,1.886,3.882,2.263
6,BJOG-INT J OBSTET GY,223,12822,56,73,3.862,3.935,1.242,1.956,3.71,2
7,GYNECOL ONCOL,432,18375,62,84,3.687,3.915,0.771,1.577,3.922,1.959
8,PLACENTA,211,6579,42,57,3.285,3.531,0.389,1.231,3.484,1.64
9,ULTRASOUND OBST GYN,187,8105,48,66,3.14,3.244,1.193,1.753,2.762,1.745
10,BEST PRACT RES CL OB,69,1824,33,39,3,2.653,0.261,1.61,3.148,1.115
10,SEMIN REPROD MED,54,1505,37,51,3,3.203,0.222,1.319,3.261,1.383
12,REPROD BIOMED ONLINE,149,5168,40,51,2.98,2.682,1.799,1.086,2.743,1.647
13,CONTRACEPTION,200,5561,36,50,2.932,2.868,0.695,1.555,2.893,1.569
14,MATURITAS,172,4427,47,61,2.861,2.933,0.547,1.458,3.301,1.125
15,PAEDIATR PERINAT EP,62,2589,29,41,2.811,2.796,0.613,1.359,2.697,1.429
16,MENOPAUSE,154,3973,43,58,2.807,3.011,1.045,1.198,2.727,1.26
17,BREAST,229,2544,30,38,2.581,2.274,0.576,1.06,2.568,1.121
18,PRENATAL DIAG,205,4665,42,61,2.514,2.115,0.766,1.228,2.355,1.262
19,SEMIN PERINATOL,62,2260,33,45,2.42,3.191,0.21,1.73,3.254,1.521
20,CURR OPIN OBSTET GYN,68,1774,32,40,2.37,2.275,0.412,1.288,2.637,0.99
21,OBSTET GYNECOL SURV,37,1844,97,175,2.361,2.45,0.162,1.417,2.45,0.997
22,J PERINATOL,194,3811,36,46,2.347,2.163,0.469,1.265,2.334,1.371
23,J FAM PLAN REPROD H,40,479,15,26,2.326,1.634,1.4,0.769,1.526,0.476
24,FETAL DIAGN THER,84,1435,24,37,2.295,1.396,0.56,1.131,1.95,1.304
25,CLIMACTERIC,93,1428,27,43,2.244,2.164,0.591,1.131,2.463,0.901
